Scenario,Product,Product_Name,ProductID,Status
Scenario 1,NEW,1 Piece of Chicken,32922,Success
Scenario 1,NEW,6 Pieces of Chicken,32923,Success
Scenario 1,NEW,21 Pieces of Chicken,32924,Success
Scenario 1,NEW,Original Crispy Fillet Piece,32929,Success
Scenario 1,NEW,3 Pieces Hot & Crispy™,32930,Success
Scenario 1,NEW,"6 Pieces Hot & Crispy™ ",32931,Success
Scenario 1,NEW,"3 Pieces Combo Hot & Crispy™ ",32960,Success
Scenario 1,NEW,"6 Pieces Combo Hot & Crispy™ ",32961,Success
Scenario 1,NEW,Zinger® Burger Box Hot & Crispy™,32966,Success
Scenario 1,NEW,Zinger® Burger Box Hot & Crispy™,33017,Success
Scenario 1,NEW,"Zinger Stacker® Burger Box Hot & Crispy™ ",32967,Success
Scenario 1,NEW,"Zinger Stacker® Burger Box Hot & Crispy™ ",33018,Success
Scenario 1,NEW,"Zinger® Crunch Burger™ Box Hot & Crispy™ ",32968,Success
Scenario 1,NEW,"Zinger® Crunch Burger™ Box Hot & Crispy™ ",33019,Success
Scenario 1,NEW,Original Crunch Twister® Box,32969,Success
Scenario 1,NEW,Original Crunch Twister® Box,33020,Success
Scenario 1,NEW,Zinger® Crunch Twister® Box,32970,Success
Scenario 1,NEW,Zinger® Crunch Twister® Box,33021,Success
Scenario 1,NEW,Original Crispy Burger Box,32971,Success
Scenario 1,NEW,Original Crispy Burger Box,33011,Success
Scenario 1,NEW,Original Crispy Bacon & Cheese Burger Box,32972,Success
Scenario 1,NEW,Original Crispy Bacon & Cheese Burger Box,33012,Success
Scenario 1,NEW,Original Crispy BBQ Bacon Stacker® Burger Box,32973,Success
Scenario 1,NEW,Original Crispy BBQ Bacon Stacker® Burger Box,33013,Success
Scenario 1,NEW,"Zinger® Bacon & Cheese Burger Box Hot & Crispy™ ",32974,Success
Scenario 1,NEW,"Zinger® Bacon & Cheese Burger Box Hot & Crispy™ ",33022,Success
Scenario 1,NEW,3 Piece Box,32975,Success
Scenario 1,NEW,3 Piece Box,33014,Success
Scenario 1,NEW,Original Tenders™ Box,32976,Success
Scenario 1,NEW,Original Tenders™ Box,33015,Success
Scenario 1,NEW,Favourites Box,32977,Success
Scenario 1,NEW,Favourites Box,33016,Success
Scenario 1,NEW,Family Feast,32978,Success
Scenario 1,NEW,Delivery Feast,32980,Success
Scenario 1,NEW,Delivery Feast,33211,Success
Scenario 1,NEW,Burger Feast,32981,Success
Scenario 1,NEW,Burger Feast,33210,Success
Scenario 1,NEW,Value Feast,32982,Success
Scenario 1,NEW,Value Feast,33009,Success
Scenario 1,NEW,21 Pieces of Chicken - SA/WA,33001,Success
Scenario 1,NEW,Giant Feast,33104,Success
Scenario 1,NEW,NEW Mega Chicken Box,33105,Success
Scenario 1,NEW,NEW Mega Chicken Box,33212,Success
Scenario 1,NEW,NEW Mega Burger Feast,33206,Success
Scenario 1,NEW,Giant Feast - SA/WA,33208,Success
Scenario 1,NEW,3 Pieces of Chicken,33214,Success
Scenario 1,NEW,3 Piece Combo,33215,Success
Scenario 1,NEW,My Bucket,33238,Success
Scenario 1,NEW,Family Feast,33006,Success
Scenario 1,NEW,Giant Feast - SB,33207,Success
Scenario 1,NEW,Giant Feast - SB SA,33209,Success
Scenario 1,NEW,Double Tender™ Burger Box,33213,Success
Scenario 1,NEW,Zinger® Burger,32879,Success
Scenario 1,NEW,Zinger® Burger Combo,32880,Success
Scenario 1,NEW,Double Tender™ Burger,32886,Success
Scenario 1,NEW,Zinger® Bacon & Cheese Burger,32887,Success
Scenario 1,NEW,Zinger® Crunch Burger™,32888,Success
Scenario 1,NEW,Original Crispy Burger,32889,Success
Scenario 1,NEW,Original Crispy Bacon & Cheese Burger,32890,Success
Scenario 1,NEW,Original Crispy BBQ Bacon Stacker® Burger,32891,Success
Scenario 1,NEW,Zinger Stacker® Burger,32892,Success
Scenario 1,NEW,3 Wicked Wings®,32925,Success
Scenario 1,NEW,6 Wicked Wings®,32926,Success
Scenario 1,NEW,10 Wicked Wings®,32927,Success
